Time,Longitude,Latitude,Altitude,Roll,Pitch,Heading
5.85833,-122.3573469,37.61362014,5.84085135,0.1917811222,-0.7306388932,297.8788008
6.86667,-122.3573469,37.61362014,5.840849861,0.1917610788,-0.7306452991,297.878801
7.875,-122.3573469,37.61362014,5.84084647,0.1917088254,-0.7306551387,297.8788016
8.875,-122.3573469,37.61362014,5.840842413,0.1916299239,-0.7306659338,297.8788025
9.91667,-122.3573469,37.61362014,5.84083885,0.1915612162,-0.7306754938,297.8788033
10.8667,-122.3573469,37.61362014,5.840833509,0.1914441592,-0.7306902555,297.8788047
11.9667,-122.3573469,37.61362014,5.840832764,0.1914329076,-0.730691995,297.8788048
12.8583,-122.3573469,37.61362014,5.840823023,0.1911794344,-0.7307176491,297.8788078
13.8583,-122.3573469,37.61362014,5.840818622,0.1910425277,-0.730731051,297.8788094
14.8667,-122.3573469,37.61362014,5.840814039,0.1908840533,-0.7307446396,297.8788113
15.8583,-122.3573469,37.61362014,5.840808726,0.1907001613,-0.7307599057,297.8788134
16.875,-122.3573469,37.61362014,5.840807605,0.1904952756,-0.7307631034,297.8788159
17.8667,-122.3573469,37.61362014,5.840806163,0.1904144042,-0.7307713627,297.8788169
18.8667,-122.3573469,37.61362014,5.840801813,0.1906318788,-0.7307842756,297.8788142
19.8583,-122.3573469,37.61362014,5.840797203,0.1908297143,-0.7307971362,297.8788118
20.8667,-122.3573469,37.61362014,5.840792243,0.1910335545,-0.7308106817,297.8788092
22.1333,-122.3573469,37.61362014,5.840786959,0.1912187846,-0.7308248731,297.878807
22.8667,-122.3573469,37.61362014,5.840783386,0.1914522852,-0.7308390414,297.8788041
24.025,-122.3573469,37.61362014,5.840779883,0.191734681,-0.7308502788,297.8788006
24.8667,-122.3573469,37.61362014,5.840776575,0.1919730318,-0.730862856,297.8787977
25.8833,-122.3573469,37.61362014,5.840773234,0.1922324734,-0.7308751784,297.8787945
26.875,-122.3573469,37.61362014,5.840768992,0.1925075108,-0.7308887172,297.8787912
27.925,-122.3573469,37.61362014,5.84076573,0.1928040063,-0.7309026835,297.8787875
28.8583,-122.3573469,37.61362014,5.840760404,0.1930858328,-0.7309181832,297.8787841
29.8917,-122.3573469,37.61362014,5.840756082,0.1934004431,-0.7309324319,297.8787802
30.8833,-122.3573469,37.61362014,5.840751071,0.1937286429,-0.7309491558,297.8787762
31.8667,-122.3573469,37.61362014,5.840746214,0.1940559533,-0.7309651484,297.8787722
32.8833,-122.3573469,37.61362014,5.840740604,0.1944091554,-0.730983557,297.8787679
33.9083,-122.3573469,37.61362014,5.840735263,0.1947849323,-0.7310007405,297.8787633
35.0917,-122.3573469,37.61362014,5.840729876,0.1951421112,-0.7310184253,297.8787589
35.8583,-122.3573469,37.61362014,5.839372559,0.19542284,-0.733226207,297.8787482
36.8667,-122.3573469,37.61362014,5.839348903,0.1953804201,-0.7332910272,297.8787485
37.8833,-122.3573469,37.61362014,5.839337956,0.1953817813,-0.7333099411,297.8787484
38.925,-122.3573469,37.61362014,5.83912921,0.1953786008,-0.7336914085,297.8787443
39.9083,-122.3573474,37.61362037,5.84156049,0.1954291261,-0.729656966,297.8786988
40.9,-122.3573507,37.61362176,5.846201156,0.1956069128,-0.7231601664,297.8782273
41.9,-122.3573609,37.61362603,5.854401129,0.1961154343,-0.7136877459,297.8761802
42.9,-122.3573826,37.61363516,5.867718976,0.1969619752,-0.7012533827,297.8712826
43.9167,-122.3574251,37.613653,5.889064921,0.1984951924,-0.6848275389,297.8602914
44.9083,-122.3574955,37.61368259,5.919690634,0.2009920848,-0.6661104273,297.83909
45.8833,-122.3576001,37.61372643,5.953755434,0.2042924838,-0.6602899054,297.8031678
46.8917,-122.3577496,37.61378904,6.000699566,0.2168846497,-0.6596009753,297.7452848
47.8917,-122.3579383,37.61386782,6.066250122,0.2205551488,-0.6549956856,297.6674175
48.9,-122.3581687,37.61396372,6.151856252,0.2039187857,-0.6529302415,297.5681459
49.8917,-122.3584317,37.61407276,6.263865466,0.2218656716,-0.644238509,297.4487395
50.875,-122.3587295,37.61419562,6.403636704,0.2149321549,-0.6375121383,297.3143356
51.8917,-122.3590815,37.61434015,6.590387585,0.2681271469,-0.6236945416,297.1554276
52.9,-122.3594664,37.61449727,6.771474368,0.2877210997,-0.6585891595,297.0015221
53.9083,-122.3598889,37.61466872,7.045856948,0.2885350204,-0.6085396428,296.8403769
54.8667,-122.3603209,37.61484299,7.31803593,0.2999115813,-0.6274012343,296.6955848
55.8917,-122.3608276,37.61504606,7.673732056,0.3136492436,-0.6305643647,296.4997375
56.8583,-122.3613361,37.61524782,8.04576945,0.3543734372,-0.6333589398,296.1577726
57.8833,-122.3619106,37.6154744,8.516668875,0.3242237437,-0.6249877762,296.1089544
58.9,-122.3625149,37.61571316,9.034451118,0.239580863,-0.6259925408,296.5321342
59.9,-122.3631463,37.61596488,9.609473186,0.1914461282,-0.6204893938,296.9840227
60.9,-122.3638028,37.6162297,10.23842789,0.2107745696,-0.6209961376,297.2410821
61.8583,-122.3644539,37.61649488,10.88735516,0.2561408619,-0.6217196799,297.3233017
62.9083,-122.3652105,37.61680506,11.66656443,0.2977129675,-0.6230472528,297.3515982
